model,anchor_idx,direction,mag_cm,anchor_min_v2v_m,denoised_min_v2v_m,a_correction_m,b_motion_from_anchor_m,b_motion_from_perturbed_m,pullback_m,recovery_0.5cm,recovery_1cm,recovery_2cm,recovery_5cm
uncond,38,+x,2,0.012182592414319515,0.0136740542948246,0.04324624687433243,0.07779010385274887,0.07148335874080658,-0.012409597635269165,False,False,True,True
uncond,39,+x,2,0.02321326732635498,0.028395455330610275,0.07139481604099274,0.048327647149562836,0.05078604444861412,0.014600902795791626,False,False,False,True
uncond,40,+x,2,0.009000150486826897,0.018824176862835884,0.028691930696368217,0.05001499876379967,0.04939950630068779,-0.012954354286193848,False,False,True,True
uncond,41,+x,2,0.013555851764976978,0.019060175865888596,0.051252953708171844,0.04622853919863701,0.054677583277225494,0.0404336154460907,False,False,True,True
uncond,42,+x,2,0.01487455703318119,0.012513249181210995,0.06986720114946365,0.06783945113420486,0.07716376334428787,0.046939700841903687,False,False,True,True
uncond,43,+x,2,0.010229171253740788,0.013418853282928467,0.047609515488147736,0.09631276875734329,0.09173641353845596,-0.010608047246932983,False,False,True,True
uncond,44,+x,2,0.005803156178444624,0.004632242489606142,0.027874039486050606,0.03751872852444649,0.03292214870452881,-0.003352254629135132,True,True,True,True
uncond,45,+x,2,0.00961802527308464,0.013553652912378311,0.039475832134485245,0.06277298182249069,0.07101545482873917,0.03668734431266785,False,False,True,True
uncond,46,+x,2,0.004035711754113436,0.008715854957699776,0.039188314229249954,0.05698997154831886,0.04920700937509537,-0.010587155818939209,False,True,True,True
uncond,47,+x,2,0.0169980451464653,0.0061751171015203,0.029535304754972458,0.03793315589427948,0.0424041748046875,0.01362350583076477,False,True,True,True
uncond,48,+x,2,0.009775537997484207,0.01417645812034607,0.0549282506108284,0.05711119994521141,0.06530769169330597,0.03327074646949768,False,False,True,True
uncond,49,+x,2,0.010337849147617817,0.007264978718012571,0.04438991844654083,0.049665417522192,0.049983639270067215,0.010330140590667725,False,True,True,True
uncond,50,+x,2,0.0046088616363704205,0.053221046924591064,0.04408172145485878,0.10827308893203735,0.0930129736661911,-0.0658099353313446,False,False,False,False
uncond,51,+x,2,0.004776366520673037,0.010307535529136658,0.05372025445103645,0.0486467219889164,0.04941139370203018,0.005308032035827637,False,False,True,True
uncond,52,+x,2,0.01261051930487156,0.01015167124569416,0.04924381151795387,0.06127205863595009,0.05908045917749405,0.002885878086090088,False,False,True,True
uncond,53,+x,2,0.005955229979008436,0.012814476154744625,0.09872792661190033,0.05585053563117981,0.05943175405263901,0.015790700912475586,False,False,True,True
uncond,54,+x,2,0.007020900491625071,0.003257242264226079,0.054289527237415314,0.11083071678876877,0.10191141813993454,-0.03731730580329895,True,True,True,True
uncond,55,+x,2,0.015004224143922329,0.010210946202278137,0.04191352054476738,0.10077902674674988,0.09228681027889252,-0.02444443106651306,False,False,True,True
uncond,56,+x,2,0.009412880055606365,0.007362772710621357,0.06263531744480133,0.04089704900979996,0.03393758460879326,-0.0014609098434448242,False,True,True,True
uncond,57,+x,2,0.011260945349931717,0.007828695699572563,0.07417282462120056,0.053255874663591385,0.04768107831478119,0.00034649670124053955,False,True,True,True
uncond,58,+x,2,0.009028458967804909,0.01171875,0.05369342863559723,0.05635257810354233,0.061812035739421844,0.0269850492477417,False,False,True,True
uncond,59,+x,2,0.008143105544149876,0.006514484528452158,0.05310960114002228,0.04543529823422432,0.054343003779649734,0.03394024074077606,False,True,True,True
uncond,60,+x,2,0.016322767361998558,0.0121532017365098,0.07361547648906708,0.04613207280635834,0.050545189529657364,0.019668400287628174,False,False,True,True
uncond,61,+x,2,0.011580606922507286,0.014617888256907463,0.022013850510120392,0.090062715113163,0.07471442967653275,-0.054965317249298096,False,False,True,True
uncond,62,+x,2,0.011425155214965343,0.022957008332014084,0.05512328818440437,0.046872131526470184,0.04883716255426407,0.012378811836242676,False,False,False,True
uncond,63,+x,2,0.06744912266731262,0.04810313880443573,0.0438196025788784,0.04989778622984886,0.051538627594709396,0.015396714210510254,False,False,False,True
uncond,64,+x,2,0.007142938673496246,0.05877555534243584,0.04609072208404541,0.10246563702821732,0.10279810428619385,0.013146579265594482,False,False,False,False
uncond,65,+x,2,0.10640449821949005,0.03551805764436722,0.03876751661300659,0.06642206013202667,0.06977856904268265,0.022732317447662354,False,False,False,True
uncond,66,+x,2,0.007611551322042942,0.013456556014716625,0.046978190541267395,0.061890214681625366,0.05316361412405968,-0.02224963903427124,False,False,True,True
